Timestamp,Forward Volumetric Flow (m3/hr), FV Totalizer (m3/hr), Reverse Volumetric Flow (m3/hr), RV Totalizer (m3/hr), Velocity (m/sec), Forward Mass Flow, Forward Mass Totalizer, Reverse Mass Flow, Reverse Mass Totalizer
1559039853.198094,00,00,00,00,00,00,00,00,00,
1559039863.725772,00,00,00,00,00,00,00,00,00,
