Timestamp,Forward Volumetric Flow (m3/hr), FV Totalizer (m3/hr), Reverse Volumetric Flow (m3/hr), RV Totalizer (m3/hr), Velocity (m/sec), Forward Mass Flow, Forward Mass Totalizer, Reverse Mass Flow, Reverse Mass Totalizer
1559039851.975211,00,00,00,00,00,00,00,00,00,
1559039862.497477,00,00,00,00,00,00,00,00,00,
